"Subject","Start Date","Start Time","End Date","End Time","All day event","Location","Description"
"TM 広島 11-0 東海大学熊本","2022/01/22","11:00:00","2022/01/22","13:00","False","熊本市水前寺競技場","練習試合"
"TM 広島 4-1 熊本","2022/01/24","14:30:00","2022/01/24","16:30","False","熊本市水前寺競技場","練習試合"
"TM 熊本 4-5 広島","2022/01/28","13:00:00","2022/01/28","15:00","False","えがお健康スタジアム","練習試合"
"TM 横浜FM 2-3 広島","2022/02/05","10:30:00","2022/02/05","12:30","False","非公開","練習試合"
"TM 広島 6-2 金沢","2022/02/09","11:00:00","2022/02/09","13:00","False","シーガイア イベントスクエア","練習試合"
"J1 広島 0-0 鳥栖","2022/02/19","14:03:00","2022/02/19","16:03","False","エディオンスタジアム広島","J1 第1節"
"JC 徳島 0-3 広島","2022/02/23","14:03:00","2022/02/23","16:03","False","鳴門・大塚スポーツパークポカリスエットスタジアム","Jリーグカップ Bグループ 第1節"
"J1 札幌 1-1 広島","2022/02/26","15:03:00","2022/02/26","17:03","False","札幌ドーム","J1 第2節"
"JC 広島 2-0 名古屋","2022/03/02","19:03:00","2022/03/02","21:03","False","エディオンスタジアム広島","Jリーグカップ Bグループ 第2節"
"J1 広島 1-1 神戸","2022/03/06","16:03:00","2022/03/06","18:03","False","エディオンスタジアム広島","J1 第3節"
"J1 FC東京 2-1 広島","2022/03/12","15:03:00","2022/03/12","17:03","False","味の素スタジアム","J1 第4節"
"TM 広島 3-1 山口","2022/03/13","13:00:00","2022/03/13","15:00","False","吉田サッカー公園","練習試合"
"J1 広島 0-2 川崎","2022/03/19","14:03:00","2022/03/19","16:03","False","エディオンスタジアム広島","J1 第5節"
"JC 広島 1-2 清水","2022/03/26","14:03:00","2022/03/26","16:03","False","エディオンスタジアム広島","Jリーグカップ Bグループ 第3節"
"J1 湘南-広島","2022/04/02","15:00:00","2022/04/02","17:00","False","レモンガススタジアム平塚","J1 第6節"
"J1 広島-横浜FM","2022/04/06","19:00:00","2022/04/06","21:00","False","エディオンスタジアム広島","J1 第7節"
"J1 広島-福岡","2022/04/10","14:00:00","2022/04/10","16:00","False","エディオンスタジアム広島","J1 第8節"
"JC 名古屋-広島","2022/04/13","19:30:00","2022/04/13","21:30","False","豊田スタジアム","Jリーグカップ Bグループ 第4節"
"J1 磐田-広島","2022/04/17","16:00:00","2022/04/17","18:00","False","ヤマハスタジアム","J1 第9節"
"JC 広島-徳島","2022/04/23","14:00:00","2022/04/23","16:00","False","エディオンスタジアム広島","Jリーグカップ Bグループ 第5節"
"J1 清水-広島","2022/04/29","14:00:00","2022/04/29","16:00","False","IAIスタジアム日本平","J1 第10節"
"J1 広島-柏","2022/05/03","14:00:00","2022/05/03","16:00","False","エディオンスタジアム広島","J1 第11節"
"J1 広島-鹿島","2022/05/07","14:00:00","2022/05/07","16:00","False","エディオンスタジアム広島","J1 第12節"
"J1 浦和-広島","2022/05/13","19:30:00","2022/05/13","21:30","False","埼玉スタジアム2002","J1 第13節"
"JC 清水-広島","2022/05/18","19:00:00","2022/05/18","21:00","False","IAIスタジアム日本平","Jリーグカップ Bグループ 第6節"
"J1 広島-京都","2022/05/21","13:00:00","2022/05/21","15:00","False","エディオンスタジアム広島","J1 第14節"
"J1 G大阪-広島","2022/05/25","19:00:00","2022/05/25","21:00","False","パナソニックスタジアム吹田","J1 第15節"
"J1 広島-名古屋","2022/05/28","14:00:00","2022/05/28","16:00","False","エディオンスタジアム広島","J1 第16節"
"J1 広島-C大阪","2022/06/18","19:00:00","2022/06/18","21:00","False","エディオンスタジアム広島","J1 第17節"
"J1 福岡-広島","2022/06/25","18:30:00","2022/06/25","20:30","False","ベスト電器スタジアム","J1 第18節"
"J1 広島-磐田","2022/07/02","18:30:00","2022/07/02","20:30","False","エディオンスタジアム広島","J1 第19節"
"J1 横浜FM-広島","2022/07/06","19:00:00","2022/07/06","21:00","False","日産スタジアム","J1 第20節"
"J1 広島-湘南","2022/07/10","18:00:00","2022/07/10","20:00","False","エディオンスタジアム広島","J1 第21節"
"J1 京都-広島","2022/07/17","18:30:00","2022/07/17","20:30","False","サンガスタジアム by KYOCERA","J1 第22節"
"J1 広島-FC東京","2022/07/30","19:00:00","2022/07/30","21:00","False","エディオンスタジアム広島","J1 第23節"
"J1 鹿島-広島","2022/08/06","18:00:00","2022/08/06","20:00","False","県立カシマサッカースタジアム","J1 第24節"
"J1 柏-広島","2022/08/14","18:30:00","2022/08/14","20:30","False","三協フロンテア柏スタジアム","J1 第25節"
"J1 広島-G大阪","2022/08/20","19:00:00","2022/08/20","21:00","False","エディオンスタジアム広島","J1 第26節"
"J1 C大阪-広島","2022/08/27","19:00:00","2022/08/27","21:00","False","ヨドコウ桜スタジアム","J1 第27節"
"J1 広島-清水","2022/09/03","","2022/09/04","","True","エディオンスタジアム広島","J1 第28節"
"J1 川崎-広島","2022/09/10","","2022/09/11","","True","等々力陸上競技場","J1 第29節"
"J1 名古屋-広島","2022/09/17","","2022/09/18","","True","豊田スタジアム","J1 第30節"
"J1 広島-浦和","2022/10/01","","2022/10/02","","True","エディオンスタジアム広島","J1 第31節"
"J1 神戸-広島","2022/10/08","","2022/10/09","","True","ノエビアスタジアム神戸","J1 第32節"
"J1 広島-札幌","2022/10/29","","2022/10/30","","True","エディオンスタジアム広島","J1 第33節"
"J1 鳥栖-広島","2022/11/05","","2022/11/06","","True","駅前不動産スタジアム","J1 第34節"